userName,userLocation,userDescription,isUserVerified,date,text,source
Issa ☁️,,"┏━━━━━━━━━━━━━┓
♡ •𝐇𝐨𝐬𝐞𝐨𝐤 𝐦𝐢 𝐯𝐚𝐫ó𝐧• ♡
┗━━━━━━━━━━━━━┛",False,2022-09-11 04:29:14+00:00,@Tigo_GT @Stray_Kids @DeezerLatino Traigan a los perdidos plis,Twitter for Android
Esequiel Amador,,Unico,False,2022-09-11 04:19:19+00:00,@CremasOficial @Tigo_GT Londoño es el Pana,Twitter for Android
Roberto Valdés Sierr,Guatemala.,,False,2022-09-11 04:06:41+00:00,@Tigo_GT Que buena la transmisión.  Tengo el canal de mi Real Madrid y estoy hecho.,Twitter for Android
Mariela,Guatemala,"Una bad bitch, girl de lo' 90",False,2022-09-11 03:48:40+00:00,"@Tigo_GT Entregarte tanto fue mi debilidad
Y tus besos ahora son mi necesidad
Ahora sólo me acompaña la soledad
Contigo siento que yo pierdo mi dignidad

#SigueLaMúsica 💗💗",Twitter for iPhone
Sonny Bournet,,,False,2022-09-11 03:40:46+00:00,"@Tigo_GT Me encanta muchas innovación que esta haciendo tigo ojalá la liga no sea gratis por un tiempo porque sus precios son mayores a la competencia ojalá y no le suba el. Otro año, además ya pongan llamadas ilimitadas a cualquier operador en recargas de 100 yo me cambiaría tomenlo en",Twitter for Android
Jorge Orozco Monterroso,"14.834928,-91.519913","nacido en xela, guatemala, me gusta ver y comentar todo sobre el deporte",False,2022-09-11 03:37:29+00:00,"@Edgarmazgt @Aro2013My @Tigo_GT Hay que tener la cajita, el sevicio esta bien , tiene un retraso de 1 minuto y medio, pero es como verlo en una app , el delay es normal. Por otro lado 45 comparado a 200 que cobra sky es un excelente precio",Twitter for Android
Hector Guzman,,Runner,False,2022-09-11 03:31:02+00:00,@Tigo_GT Vix +La Liga están en tigo #FutbolConTigo y #Barcelona,Twitter for Android
𝐫𝐞𝐧 ⤮,btskz ♥︎,"no a las drogas, si a 3racha",False,2022-09-11 03:13:30+00:00,@Tigo_GT @Stray_Kids @DeezerLatino Tigo best línea,Twitter for iPhone
José Aroldo Fajardo Donis,Guatemala,💪 Joven Bendecido 🙏 Alegre 🐵 y Amante de la Vida 🎮 ⚽,False,2022-09-11 02:44:49+00:00,@Tigo_GT Vix+ y La Liga están en Tigo #FutbolConTigo @realmadrid,Twitter for Android
Messista!,,Amamos la magia del GOAT Lionel Andrés Messi!🥵,False,2022-09-11 02:31:57+00:00,@Tigo_GT Lentisimo y se va de la nada,Twitter for Android
David,,it was...,False,2022-09-11 02:20:55+00:00,"@Tigo_GT en serio, ni para hacer un puto cobro sirven... Por la vida de las putas. Hay algo que si puedan hacer bien?",Twitter for Android
Victor Hugo,,,False,2022-09-11 02:17:56+00:00,"@Tigo_GT Vix+ Y la liga están en Tigo #FutbolConTigo
#HalaMadrid #VamosRealMadrid
Equipo favorito #RealMadrid",Twitter for Android
Elman,,,False,2022-09-11 02:00:42+00:00,@Tigo_GT Sin servicio de Internet desde medio día. Que vergüenza,Twitter for Android
Estuardo Abril,,Sin complicarse es como hay que vivir,False,2022-09-11 01:58:41+00:00,@CremasOficial @Tigo_GT Lastima que willy sigue metiendo a su marido de landin. Asi no se puede,Twitter for Android
Fercho,,Dar buenas vibras siempre.,False,2022-09-11 01:55:14+00:00,@axelvham @Tigo_GT Dale a ver si ganamos,Twitter for Android
Mafer,,,False,2022-09-11 01:53:41+00:00,"@Tigo_GT Jugué ruleta rusa y me tocó el tiro de muerte 
#SigueLaMusica",Twitter for iPhone
Mafer,,,False,2022-09-11 01:42:37+00:00,"@Tigo_GT Antes yo creía en el amor
Y ahora me toca olvidarte, 
ignorarte, borrarte 
#SigueLaMusica",Twitter for iPhone
André,,,False,2022-09-11 01:34:34+00:00,@mafer_martinezx @Tigo_GT Pone la que te dije así ganas,Twitter for Android
Albo de Corazon👻♥#aporlaremontada👻,Guatemala,"Soy Gamer :D
¡Bienvenidos a mi cuenta los quiero mucho :D! 
Mi canal de youtube https://t.co/7tFr4FVzF0
mi youtuber favorito 
@EscanorBlock
@Lingames_",False,2022-09-11 01:25:18+00:00,@CremasOficial @Tigo_GT Solo londoño sabe jugar hoy,Twitter for Android
